k,t_wall(s),T(s),J(s)
129,9968.658169238,0.049996319,-0.000003681
130,9968.708172632,0.050003394,0.000003394
131,9968.758172622,0.049999990,-0.000000010
132,9968.808172340,0.049999718,-0.000000282
133,9968.858179161,0.050006821,0.000006821
134,9968.908177829,0.049998668,-0.000001332
135,9968.958179015,0.050001186,0.000001186
136,9969.008172736,0.049993721,-0.000006279
137,9969.058172768,0.050000032,0.000000032
138,9969.108172516,0.049999748,-0.000000252
139,9969.158172505,0.049999989,-0.000000011
140,9969.208173150,0.050000645,0.000000645
141,9969.258171724,0.049998574,-0.000001426
142,9969.308179194,0.050007470,0.000007470
143,9969.358206429,0.050027235,0.000027235
144,9969.408210270,0.050003841,0.000003841
145,9969.458173918,0.049963648,-0.000036352
146,9969.508176224,0.050002306,0.000002306
147,9969.558176102,0.049999878,-0.000000122
148,9969.608209168,0.050033066,0.000033066
149,9969.658171312,0.049962144,-0.000037856
150,9969.708209231,0.050037919,0.000037919
151,9969.758169831,0.049960600,-0.000039400
152,9969.808207547,0.050037716,0.000037716
153,9969.858173211,0.049965664,-0.000034336
154,9969.908207909,0.050034698,0.000034698
155,9969.958206042,0.049998133,-0.000001867
156,9970.008169628,0.049963586,-0.000036414
157,9970.058217587,0.050047959,0.000047959
158,9970.108209351,0.049991764,-0.000008236
159,9970.158169615,0.049960264,-0.000039736
160,9970.208208969,0.050039354,0.000039354
161,9970.258204465,0.049995496,-0.000004504
162,9970.308209474,0.050005009,0.000005009
163,9970.358169683,0.049960209,-0.000039791
164,9970.408204946,0.050035263,0.000035263
165,9970.458213613,0.050008667,0.000008667
166,9970.508208567,0.049994954,-0.000005046
167,9970.558208196,0.049999629,-0.000000371
168,9970.608207762,0.049999566,-0.000000434
169,9970.658209139,0.050001377,0.000001377
170,9970.708209665,0.050000526,0.000000526
171,9970.758208349,0.049998684,-0.000001316
172,9970.808209792,0.050001443,0.000001443
173,9970.858209621,0.049999829,-0.000000171
174,9970.908210681,0.050001060,0.000001060
175,9970.958210308,0.049999627,-0.000000373
176,9971.008176026,0.049965718,-0.000034282
177,9971.058208765,0.050032739,0.000032739
178,9971.108209259,0.050000494,0.000000494
179,9971.158170105,0.049960846,-0.000039154
180,9971.208170337,0.050000232,0.000000232
181,9971.258169692,0.049999355,-0.000000645
182,9971.308169427,0.049999735,-0.000000265
183,9971.358169810,0.050000383,0.000000383
184,9971.408169974,0.050000164,0.000000164
185,9971.458169254,0.049999280,-0.000000720
186,9971.508169499,0.050000245,0.000000245
187,9971.558169430,0.049999931,-0.000000069
188,9971.608172045,0.050002615,0.000002615
189,9971.658171621,0.049999576,-0.000000424
190,9971.708169830,0.049998209,-0.000001791
191,9971.758169764,0.049999934,-0.000000066
192,9971.808171223,0.050001459,0.000001459
193,9971.858169236,0.049998013,-0.000001987
194,9971.908169554,0.050000318,0.000000318
195,9971.958169087,0.049999533,-0.000000467
196,9972.008169283,0.050000196,0.000000196
197,9972.058170315,0.050001032,0.000001032
198,9972.108172081,0.050001766,0.000001766
199,9972.158169377,0.049997296,-0.000002704
200,9972.208167047,0.049997670,-0.000002330
201,9972.258168302,0.050001255,0.000001255
202,9972.308166845,0.049998543,-0.000001457
203,9972.358168560,0.050001715,0.000001715
204,9972.408172032,0.050003472,0.000003472
205,9972.458167160,0.049995128,-0.000004872
206,9972.508207424,0.050040264,0.000040264
207,9972.558218930,0.050011506,0.000011506
208,9972.608208230,0.049989300,-0.000010700
209,9972.658206374,0.049998144,-0.000001856
210,9972.708207841,0.050001467,0.000001467
211,9972.758206124,0.049998283,-0.000001717
