,T(k) sem carga,T(k) com carga,J(k) sem carga,J(k) com carga
Média,0.05000015913994911,0.05000015595165394,1.5913994910941528e-07,1.559516539440206e-07
Variância,1.698154979683791e-08,3.3602100579155407e-10,1.698154979683792e-08,3.360210057915558e-10
Desvio padrão,0.00013031327559706997,1.833087575080782e-05,0.00013031327559707,1.8330875750807866e-05
Mínimo,0.048195302,0.049892418,-0.001804698,-0.000107582
Máximo,0.051777427,0.05013803,0.001777427,0.00013803
